channel,tvg_id,group,working,reason,seconds,host,url
Mh 1 Music (720p),Mh1Music.in,IN Music,YES,playing,0.8,livestream.jswk.online,https://livestream.jswk.online/playlisttest/live/playlist.m3u8
Music India (576p),MusicIndia.in,IN Music,YES,playing,3.2,streams.tangotv.in,https://streams.tangotv.in/MUSICINDIA/ORIGIN/index.m3u8
Music India (720p),MusicIndia.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/226/master.m3u8
NH BollyRaga (1080p),NHBollyRaga.in,IN Music,YES,playing,3.0,jmp2.uk,https://jmp2.uk/stvp-IN460001373
Orange Bangla TV (720p),OrangeBanglaTV.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1499/master.m3u8
Peppers TV (576p),PeppersTV.in,IN Music,YES,playing,3.0,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlPEPPERS/index.m3u8
Peppers TV (751p),PeppersTV.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1383/master.m3u8
PTC Chakde (576p),PTCChakde.in,IN Music,YES,playing,3.0,mumt06.tangotv.in,https://mumt06.tangotv.in/qYyB8fXVPTCCHAKDE/index.m3u8
PTC Chakde (720p),PTCChakde.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/449/master.m3u8
PTC Music (576p),PTCMusic.in,IN Music,YES,playing,3.0,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4PTCMUSIC/index.m3u8
PTC Music (720p),PTCMusic.in,IN Music,YES,playing,1.0,d2lk5u59tns74c.cloudfront.net,https://d2lk5u59tns74c.cloudfront.net/out/v1/f913cf893c594f73b114216e74a2efbc/index.m3u8
Public Music (576p),PublicMusic.in,IN Music,YES,playing,3.0,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4PUBLICMUSIC/index.m3u8
Public Music (720p),PublicMusic.in,IN Music,YES,playing,2.3,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/441/master.m3u8
Punjabi Hits (1080p),PunjabiHits.in,IN Music,YES,playing,2.5,stream.ottlive.co.in,https://stream.ottlive.co.in/punjabihits/index.m3u8
Raj Musix Kannada (576p),RajMusixKannada.in,IN Music,YES,playing,3.0,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3RAJMUSIXKANDA/index.m3u8
Raj Musix Malayalam (576p),RajMusixMalayalam.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1073/master.m3u8
Raj Musix Malayalam (576p),RajMusixMalayalam.in,IN Music,YES,playing,3.0,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4RAJMUSIXMALAYALAM/index.m3u8
Raj Musix Tamil (1080p),RajMusixTamil.in,IN Music,YES,playing,4.1,livestream.rajtv.tv,https://livestream.rajtv.tv/hlslive/Admin/px08241087/live/Raj_Musix/master_1.m3u8
Raj Musix Telugu (576p),RajMusixTelugu.in,IN Music,YES,playing,3.0,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlRAJMUSIXTELUGU/index.m3u8
Raj Musix Telugu (720p),RajMusixTelugu.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1213/master.m3u8
Sana Plus (1080p),SanaPlus.in,IN Music,YES,playing,2.9,galaxyott.live,https://galaxyott.live/hls/sanaplus.m3u8
Sana Plus (1080p),SanaPlus.in,IN Music,YES,playing,3.4,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/SanaPlusHD/index.m3u8
Sangeet Bangla (576p),SangeetBangla.in,IN Music,YES,playing,3.0,mumt05.tangotv.in,https://mumt05.tangotv.in/87NeALx2SANGEETBANGLA/index.m3u8
Sangeet Bangla (720p),SangeetBangla.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1143/master.m3u8
Sangeet Bhojpuri (576p),SangeetBhojpuri.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1293/master.m3u8
Sangeet Bhojpuri (576p),SangeetBhojpuri.in,IN Music,YES,playing,3.0,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3SANGEETBHOJPURI/index.m3u8
Sangeet Marathi (576p),SangeetMarathi.in,IN Music,YES,playing,0.2,107.167.16.138,http://107.167.16.138/sangeetmarathi/index.m3u8?token=test
Sangeet Marathi (576p),SangeetMarathi.in,IN Music,YES,playing,3.0,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlSANGEETMARATHI/index.m3u8
Sangeet Marathi (720p),SangeetMarathi.in,IN Music,YES,playing,2.3,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1229/master.m3u8
Songdew TV (396p),SongdewTV.in,IN Music,YES,playing,0.6,yuppnimrestreammum.akamaized.net,https://yuppnimrestreammum.akamaized.net/181224/smil:songdewtv.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b
Steelbird Music (720p),SteelbirdMusic.in,IN Music,YES,playing,2.1,cdn2.in,https://cdn2.in/SteelbirdMusicTVhls/live.m3u8
Tabbar Hits (1080p),TabbarHits.in,IN Music,YES,playing,2.4,vglivessai.akamaized.net,https://vglivessai.akamaized.net/sg/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/e11b0319-52e8-4190-ab03-3931cc68eac9/index.m3u8
Tabbar Hits (576p),TabbarHits.in,IN Music,YES,playing,3.2,streams.tangotv.in,https://streams.tangotv.in/TABBARHITS/ORIGIN/index.m3u8
Tabbar Hits (576p),TabbarHits.in,IN Music,YES,playing,3.0,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4TABBARHITS/index.m3u8
Tarang Music (720p),TarangMusic.in,IN Music,YES,playing,1.3,livetv.tarangplus.in,https://livetv.tarangplus.in/tarangmusic-origin/live/playlist.m3u8
Ultimate TV (1080p),UltimateTV.in,IN Music,YES,playing,4.6,stream.ottlive.co.in,https://stream.ottlive.co.in/utvtamil/index.m3u8
Vaanavil TV (576p),VaanavilTV.in,IN Music,YES,playing,3.0,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3VAANAVILTV/index.m3u8
Vaanavil TV (720p),VaanavilTV.in,IN Music,YES,playing,1.0,6n3yope4d9ok-hls-live.5centscdn.com,https://6n3yope4d9ok-hls-live.5centscdn.com/vaanavil/TV.stream/playlist.m3u8
YET Max (720p),YETMax.in,IN Music,YES,playing,0.3,live.yettelevision.com:5443,https://live.yettelevision.com:5443/LiveApp/streams/yettv2.m3u8
YRF Music (1080p),YRFMusic.in,IN Music,YES,playing,1.3,cdn-uw2-prod.tsv2.amagi.tv,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01412-xiaomiasia-yrfmusic-xiaomi/playlist.m3u8
ZB Music (720p),ZBMusic.in,IN Music,YES,playing,3.5,server.zillarbarta.com,https://server.zillarbarta.com/zbmusic/index.m3u8
Zing! (576p),Zing.in,IN Music,YES,playing,0.2,107.167.16.138,http://107.167.16.138/zing/index.m3u8?token=test
Zoom (576p),Zoom.in,IN Music,YES,playing,1.7,d2esfk1pb9cdob.cloudfront.net,https://d2esfk1pb9cdob.cloudfront.net/master.m3u8
Zoom (720p),Zoom.in,IN Music,YES,playing,1.2,dai.google.com,https://dai.google.com/linear/hls/event/JCAm25qkRXiKcK1AJMlvKQ/master.m3u8
8XM (576p),8XM.pk,PK Music,no,unreachable (timed out) after 3 tries,36.0,115.42.65.142:9981,http://115.42.65.142:9981/stream/channelid/582886861
